InChIKey,KEGG
"JEOAJYYDZYNEAH-YJSIEXFISA-N","No result"
"YAEGHQJYDLCTMR-DCIPZJNNSA-N","No result"
"BSZLLSHGSWKZRE-IYLQSFRJSA-N","No result"
"KJTDZAHLWHEULN-UHFFFAOYSA-N","No result"
"ASOIHOGDYISNRH-GPTGPEQGSA-N","No result"
"UOJQVKJSJVULOG-UHFFFAOYSA-N","No result"
"WZPBZJONDBGPKJ-DZIOLEBDSA-N","No result"
"HIKQPXPTFKUOGM-POVULIOGSA-N","No result"
"LNOHXHDWGCMVCO-NTKSAMNMSA-N","No result"
"ZMOPRUXYEWGUAU-UHFFFAOYSA-N","No result"
"ZMOPRUXYEWGUAU-UHFFFAOYSA-N","No result"
"UWQYBLOHTQWSQD-UHFFFAOYSA-N","No result"
"FCIKYGUVHWZSJV-UHFFFAOYSA-N","No result"
"ZVTVYIVILDSYIK-UHFFFAOYSA-N","No result"
"VJQANBSDAGCDJE-UHFFFAOYSA-N","No result"
"FUHFQQPUHNRIQM-KAPAFUSYSA-N","No result"
"WCFJCDWCDZAMPA-ANVLWLQNSA-N","No result"
"VSUOKLTVXQRUSG-ZFORQUDYSA-N","C03515"
"JWWFVRMFYKPZNE-VVIWCBLHSA-N","C09309"
"MORLNMAFXVHNAI-IWLDQSELSA-N","No result"
"OVBPIULPVIDEAO-LBPRGKRZSA-N","C00504"
"OVBPIULPVIDEAO-LBPRGKRZSA-N","C00504"
"NDFUYJPVVCJYNZ-MVIFEUJBSA-N","No result"
"GLMFFCVWRKKBJB-YVAUPFRZSA-N","No result"
"RFDAIACWWDREDC-VKRKCYKBSA-N","No result"
"SABYITLYKSVAAD-CNEMSGBDSA-N","No result"
"OSFCFXQMAHURHU-OIKOUPSRSA-N","No result"
"DMKSVUSAATWOCU-GJOKDQRHSA-N","No result"
"CVWJKBJRSZXDIW-IUEPNFFLSA-N","No result"
"IGKWMHUOBKCUQU-LTCOOKNTSA-N","No result"
"HRLFUIXSXUASEX-UHFFFAOYSA-N","No result"
"PGQUPZCFLHXEHV-UHFFFAOYSA-N","No result"
"XTRKZMFPKIQAIJ-UHFFFAOYSA-O","No result"
"IVYXJYNRIKSGRV-UHFFFAOYSA-N","No result"
"CNIWQELMLPUFOS-NVSXQWMQSA-N","C09075"
"QFRUZVNPYYYLAN-JQFPPNBKSA-N","No result"
"SXPBJYHKMRWZNA-ZITSYKRSSA-N","No result"
"KTAQQSUPNZAWEY-OSPHWJPCSA-N","No result"
"LLEBFOGPKXFKIL-UHFFFAOYSA-N","No result"
"ZHVLPKFAODFQST-BMVMOQKNSA-N","No result"
"DUOCTSCKSNKXRG-UHFFFAOYSA-O","No result"
"VSUOKLTVXQRUSG-ZFORQUDYSA-N","C03515"
"CDTIMEVVBBGLIF-OVUASUNJSA-N","No result"
"POVCYOFRCMBMKD-LMNIDFBRSA-N","No result"
"QQUHMASGPODSIW-ICECTASOSA-N","C17457"
"LVRAKYNQYKVPIK-OZPQTLBISA-N","No result"
"MAWCJLLSYLMLHT-UTRMSSBJSA-N","No result"
"XAIUTKHLNZBMEG-UHFFFAOYSA-N","No result"
"XAIUTKHLNZBMEG-UHFFFAOYSA-N","No result"
"UVGRPMWFXIDHJC-CSKARUKUSA-N","No result"
"YAXAQXBFDAJGGS-OOPXJOFBSA-N","No result"
"FNTJVYCFNVUBOL-ZUGPOPFOSA-N","No result"
"GCLAFEGUXXHIFT-IWLDQSELSA-N","C17762"
"QWWPCQGHWWNGET-LCVVDEIYSA-N","No result"
"NJVQCZVYEIAGLE-UHFFFAOYSA-N","No result"
"IGKWMHUOBKCUQU-LTCOOKNTSA-N","No result"
"ODBRNZZJSYPIDI-UHFFFAOYSA-N","No result"
"MQUFAARYGOUYEV-UAWZMHPWSA-N","C08972"
"ZQYUKJFJPJDMMR-ZDWCHQGWSA-N","No result"
"WWJZWCUNLNYYAU-UHFFFAOYSA-N","C18809"
"XIUVHOSBSDYXRG-JBHGGXTISA-N","No result"
"LSIDWNBKDSCZRU-SWRMLIGDSA-N","No result"
"DZRVGBRAMLSZDQ-HSMQXHTESA-N","No result"
"YXQXDXAHCSEVSD-IHAONTCTSA-N","No result"
"QGJZLNKBHJESQX-FZFNOLFKSA-N","C08619"
"SKUCQDOSGKINGP-YQMRLJPGSA-N","No result"
"NRNOIJZZYJOCDE-UHFFFAOYSA-N","No result"
"ZOBHQOIVLKIBTQ-SBSBCDAMSA-N","No result"
"ZOBHQOIVLKIBTQ-SBSBCDAMSA-N","No result"
"QUQMZWZRFQKNFP-UHFFFAOYSA-N","No result"
"UCFGUMMLHWLLKJ-UHFFFAOYSA-N","No result"
"REBRERQNUHGTMS-PCGJYRBUSA-N","No result"
"WLSOGIGMSWCVID-UHFFFAOYSA-N","No result"
"WTPJPYNIRFDQSR-UHFFFAOYSA-N","No result"
"NNOMPFCNQCRAIO-UHFFFAOYSA-N","No result"
"MAWCJLLSYLMLHT-UTRMSSBJSA-N","No result"
"BTXNYTINYBABQR-UHFFFAOYSA-N","C07606"
"NKNHYXCDCIOHRT-CWAIYLBLSA-N","No result"
"IGKWMHUOBKCUQU-LTCOOKNTSA-N","No result"
"YHHLNGAZCXMCEW-JJIBRWJFSA-N","No result"
"BNSKYFUGMLMCLM-SEFBTVQMSA-N","No result"
"RNPABQVCNAUEIY-GUQYYFCISA-N","C10807"
"XFMVTQWDJPMKHB-QOFAMRNWSA-N","No result"
"XREDRJVZJRMVHB-UHFFFAOYSA-N","No result"
"HLBZSQOUBVLLLL-UHFFFAOYSA-N","No result"
"SAMXBYLRDCRTCV-HMSDUJDUSA-N","No result"
"MVMBTNNVZQRZQT-BPDSZQNASA-N","No result"
"VATYWOIGKMMCMM-QHQUPYHQSA-N","No result"
"DGQLVPJVXFOQEV-NGOCYOHBSA-N","C11254"
"CHSDMOZSQFIUGK-SYPGBUITSA-N","No result"
"CQLRUIIRRZYHHS-UHFFFAOYSA-N","No result"
"NRNOIJZZYJOCDE-UHFFFAOYSA-N","No result"
"NRNOIJZZYJOCDE-UHFFFAOYSA-N","No result"
"QQUHMASGPODSIW-ICECTASOSA-N","C17457"
"YRVGYJMSCQFOCA-UHFFFAOYSA-N","No result"
"XQWLUDAZDUBMCD-AVRSQHCNSA-N","No result"
"KVAQLXUMUVEKGR-SMFZDKLCSA-N","No result"
"VTQUQEWGIJRVHB-VHPPWYILSA-N","No result"
"LYGRISUQIZNHGM-UHFFFAOYSA-N","No result"
"OVBBFGXDDIFFMB-SDPNRITHSA-N","No result"
"GRBXNADBNJGZRK-GJEDHNSHSA-N","No result"
"YQDJUXPUIRGKNV-MNOLRWOYSA-N","No result"
"IRDDGQRTXGSVFE-UHFFFAOYSA-N","No result"
"BTXNYTINYBABQR-UHFFFAOYSA-N","C07606"
"LVOGPECZHVNNHD-MDWZMJQESA-N","No result"
"STQGQHZAVUOBTE-VGBVRHCVSA-N","C01907"
"FXPWZCUQBSEHTH-QZRFOHQJSA-N","No result"
"FTGKHGAVFGGOMW-UHFFFAOYSA-N","No result"
"SKUCQDOSGKINGP-YQMRLJPGSA-N","No result"
"ATALOFNDEOCMKK-OCCQLPPTSA-N","No result"
"YRVGYJMSCQFOCA-UHFFFAOYSA-N","No result"
"JPGYRFJJNVYGPI-UHFFFAOYSA-N","No result"
"UCFGUMMLHWLLKJ-UHFFFAOYSA-N","No result"
"DIEUZIPSDUGWLD-OVMOFELOSA-N","No result"
"HJHVQCXHVMGZNC-LHTWEMHRSA-M","No result"
"DTDKDYCVVOKSAV-MNDPQUGUSA-N","No result"
"DUNFAZHEVVYXGG-NZDLZCSJSA-N","No result"
"NHOIBRJOQAYBJT-WILUFPLZSA-N","No result"
"YOGANETYFUQWIM-PXJZQJOASA-N","No result"
"XMBZZLUIFFOAHR-HWKANZROSA-N","No result"
"NKKVXFCUOMIOAF-UHFFFAOYSA-O","No result"
"RETJNOLVDRGHMX-TXUSJQNKSA-N","No result"
"VOTMSYBBJIFRQZ-SGMWDQPPSA-N","No result"
"FEZDDYPHEHMXLF-MTSAWMQWSA-N","No result"
"IRDDGQRTXGSVFE-UHFFFAOYSA-N","No result"
"JGXZVDAPLSTBGZ-UHFFFAOYSA-N","No result"
"MIROITGPMGDCGI-OWUWSFDRSA-N","No result"
"LLJFMFZYVVLQKT-UHFFFAOYSA-N","D02430"
"GJPICJJJRGTNOD-UHFFFAOYSA-N","D07538"
"RVCRIPILOFSMFG-ASSOPURVSA-N","No result"
"AKFIXMYXISUTAF-CKNBLZQJSA-N","No result"
"CYJWWQALTIKOAG-FLORRLIPSA-N","No result"
"GMIFARVLXYYPTL-DIXBGOFRSA-N","No result"
"JGQBYBXYRUCBQY-UHFFFAOYSA-N","No result"
"BPPDUZFXSHMETQ-QRDWOSGVSA-N","No result"
"AFDANKUHSLVEBJ-MBOHLOIDSA-N","No result"
"GVEICTMRUVWSCF-UHFFFAOYSA-N","No result"
"VWXMLZQUDPCJPL-ZDHAIZATSA-N","C08610"
"OVMFOVNOXASTPA-SDSMHRFWSA-N","No result"
"MZHPYFUVDWYNQP-MIDFUKFWSA-N","No result"
"SBGHXFWRTKOHQM-UHFFFAOYSA-N","No result"
"BAYBYMBPRYTYMY-JNSBAATBSA-N","No result"
"NQXDDVZOWBZZHN-CRSYUQHVSA-N","No result"
"MYEJFUXQJGHEQK-SEXHJYIHSA-N","No result"
"FEZDDYPHEHMXLF-MTSAWMQWSA-N","No result"
"NBQPHANHNTWDML-UJKBSQBPSA-N","C12638"
"FTVKHUHJWDMWIR-UHFFFAOYSA-N","No result"
"LWYAMIUSVGPFKS-CGLYQLBNSA-N","No result"
"DXSMIOSVACQXTE-BDADPDBISA-N","No result"
"OCPITUSJSRGORS-UHFFFAOYSA-N","No result"
"YRARGBWFOYODHQ-KHTUMDHASA-N","No result"
"NSEWTSAADLNHNH-LSBOWGMISA-N","C10237"
"NPJICTMALKLTFW-OFUAXYCQSA-N","D05848"
"IKQSIKPOUMLPKK-UHFFFAOYSA-N","No result"
"UAMJDBHGEBLGGF-SHMZCRCISA-N","No result"
"AAQMEKVMBSHQSI-KRYHRGCLSA-N","No result"
"IRBLIRNSGBXQFB-HJOPEMAASA-N","No result"
"COUZJTKJINDPEN-UHFFFAOYSA-N","No result"
"NWBWCXBPKTTZNQ-GSAAXPBRSA-N","No result"
"ZJBMQVPEJHVSQA-OCYVVMCSSA-N","No result"
"ZJBMQVPEJHVSQA-OCYVVMCSSA-N","No result"
"QNEDGISRFNDABJ-UHFFFAOYSA-N","No result"
"IKYPEGVINGQGGO-BJKOFHAPSA-N","No result"
"BBMULGJBVDDDNI-OWKLGTHSSA-N","D04671"
"ZALWWUJLKFBCQF-UHFFFAOYNA-N","No result"
"VAZQBTJCYODOSV-HZUCFJANSA-N","C15881"
"WEKCEGQSIIQPAQ-IRBNZIFYSA-N","C10890"
"WXMARHKAXWRNDM-GAMIEDRGSA-N","No result"
"LCTIOHZQWXQPIB-VYCPWLLESA-N","C15888"
"ZCFFYALKHPIRKJ-UJJXFSCMSA-N","No result"
"QSMRBPGSBKBADN-UHFFFAOYSA-N","No result"
"NVKNRXOMCYTFJF-WFLOGZPDSA-N","No result"
"MVDDWUSHVUIKEM-BCRGLMEZSA-N","No result"
"PFRUIDZIJVQVOR-UHFFFAOYSA-N","No result"
"AEGZYCGXUREGSM-OUKQBFOZSA-N","No result"
"BBMULGJBVDDDNI-OWKLGTHSSA-N","D04671"
"DBOVHQOUSDWAPQ-RWZKYMGZSA-N","No result"
"GFFOBQNFESRPJR-JKHMXVTDSA-N","No result"
"GFFOBQNFESRPJR-JKHMXVTDSA-N","No result"
"BBMULGJBVDDDNI-OWKLGTHSSA-N","D04671"
"PYBFXJMIKJNNAJ-UHFFFAOYSA-N","No result"
"RXAXTTGJEMODPY-CJNLAGEVSA-N","No result"
"JFZVCQKUYHJMKO-UHFFFAOYSA-N","No result"
"KTTNFIOZYNBKEY-YIOJSCHVSA-N","No result"
"QSMRBPGSBKBADN-UHFFFAOYSA-N","No result"
"VJAXSGXKVCCJNY-UHFFFAOYSA-N","No result"
"XKAYFELZCPZDEK-IPOZFMEPSA-N","No result"
"NTYUVNILMFXXRA-SNDVQFAZSA-O","No result"
"VDNBKSIMLSGEHD-PFZBONPLSA-N","No result"
"WWSNSDWQADMAJB-UHFFFAOYSA-N","No result"
"UKZBYNNIKTZZLT-QJQOJWJKSA-N","No result"
"UZFVFMDEGBUPFO-ZZZQZPNGSA-N","No result"
"MQZIGYBFDRPAKN-QISQUURKSA-N","No result"
"FUKAOWGJYQHLGN-UHFFFAOYSA-N","No result"
"JGCNXPIMJMUVKE-OVYOWKQZSA-N","No result"
"FEWRYXXFMHQZRI-UHFFFAOYNA-N","No result"
"MKQCLTNEQAMHGK-ACVNTFKSSA-N","No result"
"QIEOAEKNEKYVTH-IQDFXBJLSA-N","No result"
"AQASRZOCERRGBL-ROJLCIKYSA-N","C09419"
"RDUAJIJVNHKTQC-UJECXLDQSA-N","C12667"
"BOHOBTRHAFBJOW-GXLHQHSHSA-N","No result"
"VFUPDGRCPOEQAB-QVBFNDMOSA-N","No result"
"AKPIJPQIDBGCGR-UHFFFAOYNA-N","No result"
"PXGWEUQZDRUMRE-UNZYZCBSSA-N","No result"
"BOHOBTRHAFBJOW-GXLHQHSHSA-N","No result"
"XXNYZYBYNFRERU-UILZBOIPSA-N","No result"
"NDEVARCRJOYXJL-ICLVLUFYSA-N","No result"
"LLVOJEYSNCNXJN-XUAXIHHBSA-N","No result"
"BOPGDPNILDQYTO-NNYOXOHSSA-N","C00004"
"GOZAGCBVCYGQHP-PRJUEBITSA-N","No result"
"UPRCEYHEHWELCG-UHFFFAOYNA-N","No result"
"CXFIQFGADOTDPF-XKZIYDEJSA-N","No result"
"OFUTZNNUWRTXHO-RQGSMOOYSA-N","No result"
"OFUTZNNUWRTXHO-FKMMQLTQSA-N","No result"
"UFLYYPBSJUQZFA-YHZWSDRVSA-N","No result"
"UFLYYPBSJUQZFA-YHZWSDRVSA-N","No result"
"SVQZFPSKTHNMRD-IMTHXNPWSA-N","No result"
"VDSCKSOYNLTQSY-VGJPRPLGSA-N","No result"
"RCCBGOMNZWYBTJ-UHFFFAOYSA-N","No result"
"SOOVMLNBEBDSMV-UHFFFAOYSA-N","No result"
"WTTUCZFXXPBCMB-UHFFFAOYSA-N","No result"
"ULBIMFHIPUGBOI-UHFFFAOYNA-N","No result"
"ZTLZGWDERZVHNS-UHFFFAOYSA-N","No result"
"TZJALUIVHRYQQB-GHUWTYBDSA-N","No result"
"TZJALUIVHRYQQB-GHUWTYBDSA-N","No result"
"TZJALUIVHRYQQB-GHUWTYBDSA-N","No result"
"TZJALUIVHRYQQB-GHUWTYBDSA-N","No result"
"TZJALUIVHRYQQB-GHUWTYBDSA-N","No result"
"TZJALUIVHRYQQB-GHUWTYBDSA-N","No result"
"TZJALUIVHRYQQB-GHUWTYBDSA-N","No result"
"HIVUDBSYRZRZSH-DYDXLFEJSA-N","No result"
"HIVUDBSYRZRZSH-DYDXLFEJSA-N","No result"
"QXXKEARZEYWTST-QLHFFRPFSA-N","No result"
"DJSLHAARKMNBDB-FPIIRXNSSA-N","No result"
"MYIUHDZRMLFLNJ-UHFFFAOYSA-N","No result"
"VCMIRXRRQJNZJT-JAHAZDFLSA-N","No result"
"GTNPVPDWWGQDMU-QMMNKCGOSA-N","No result"
"JGGRFKDDIGORCC-LHYXFQTCSA-N","No result"
"QIWWLKDHHMGRQL-QJIBEZHESA-N","No result"
"QXXKEARZEYWTST-QLHFFRPFSA-N","No result"
"JFVYXJKGJMUGRG-KJPZRSJGSA-N","No result"
"ZPWPIKNEPPRDSS-WFJRFPQTSA-N","No result"
"KWBPKUMWVXUSCA-LGEKFDLWSA-N","No result"
"ATVXWIBQUWJBAT-USTGJSRQSA-N","No result"
"FYMIXXOEKMFOIA-UZJWHDIMSA-N","No result"
"UVBUBMSSQKOIBE-SDFZSQMVSA-N","No result"
"GQNZXZQBLQFJRA-AFZUQUGOSA-N","No result"
"XKWHEBFWMRWHGD-AKHQGOKRSA-N","No result"
"FUBVFOMIYZMXCB-DWHCWPPGSA-N","No result"
"XYLWKHKCYHMVMA-QZQOTICOSA-N","No result"
"ULGZDMOVFRHVEP-RWJQBGPGSA-N","C01912"
"QXXKEARZEYWTST-QLHFFRPFSA-N","No result"
"QXXKEARZEYWTST-QLHFFRPFSA-N","No result"
"ZOHJKBZGFBXFIK-CMVGPNDKSA-N","No result"
"PEFASEPMJYRQBW-UHFFFAOYNA-N","No result"
"XUWTZJRCCPNNJR-UHFFFAOYSA-N","No result"
"IYVFNTXFRYQLRP-NWOIDTSESA-N","No result"
"FFDULTAFAQRACT-XKBSQSBASA-N","No result"
"QZMZXIWBPGRBOD-YWQXDYITSA-N","No result"
"CPKXIKIVLSMABL-UHFFFAOYSA-N","No result"
"MNASOWORUXKEPP-RKVCBYGQSA-N","No result"
"VAZXQMYIQNKBRG-UHFFFAOYSA-N","No result"
"RBFOMTAWEHHDSX-TZHFLBFYSA-N","No result"
"FCANTWZHYAQEKU-VOOLBVRYSA-N","No result"
"KRHBBIAEHFFEMF-PLBHUYDJSA-N","No result"
"AKLLFACZGZTMGS-CLFOWMDLSA-N","No result"
"KAJMZANRKFVVKV-RGXKZFLBSA-N","No result"
"AFYIWKNGSIYXCQ-WLJLAZGQSA-N","No result"
"OXQSHEREUUUCEE-UHFFFAOYSA-N","No result"
"WZAXZHIVHPRTIU-IHIXZLSHSA-N","C17836"
"JYHXDMQYXCMDPF-UHFFFAOYSA-N","No result"
"FQIVLXIUJLOKPL-DQCYIFKOSA-N","No result"
"IUCNQFHEWLYECJ-TUJNHLRFSA-L","No result"
"KASDHRXLYQOAKZ-RNZHFBRZSA-N","No result"
"MEYZYGMYMLNUHJ-WYMLVPIESA-N","No result"
"DVFXEUYOOYUTOA-DYCWBZJYSA-N","No result"
"IPQVTOJGNYVQEO-KGFNBKMBSA-N","C10404"
"ACTIUHUUMQJHFO-UPTCCGCDSA-N","C11378"
"NPVUMVVTBDKDDD-NTQQJVIQSA-N","No result"
