InChIKey,KEGG
"NIKHGUQULKYIGE-ADPGWCSISA-N","C11874"
"NIKHGUQULKYIGE-ADPGWCSISA-N","C11874"
"VOYCJQSSBDMXNQ-YZGKFDMESA-N","No result"
"RYAUSSKQMZRMAI-ALOPSCKCSA-N","C18787"
"OPVPGKGADVGKTG-UHFFFAOYNA-N","No result"
"OPVPGKGADVGKTG-UHFFFAOYNA-N","No result"
"WVFNARDJAJTRAI-ZRGNYTFBSA-N","No result"
"CIGQQQTZOIDQQR-SGWMQEFOSA-N","No result"
"OGURJSOPVFCIOO-UHFFFAOYSA-N","No result"
"AAFQUFFWQFQGDH-UHFFFAOYSA-N","No result"
"RFHAOTPXVQNOHP-UHFFFAOYSA-N","D00322"
"RKUNBYITZUJHSG-SPUOUPEWSA-N","C01479"
"WRPIRSINYZBGPK-UHFFFAOYSA-N","C18892"
"WRPIRSINYZBGPK-UHFFFAOYSA-N","C18892"
"RWSXRVCMGQZWBV-UHFFFAOYNA-N","C02320"
"SWWQQSDRUYSMAR-UHFFFAOYSA-N","No result"
"KJESCRMXEKTEKR-UHFFFAOYSA-N","No result"
"UHPXXKLAACDXGS-UHFFFAOYSA-N","No result"
"IYRMWMYZSQPJKC-UHFFFAOYSA-N","C05903"
"JSRLJPSBLDHEIO-UHFFFAOYNA-N","No result"
"GLWPLQBQHWYKRK-CYBMUJFWSA-N","No result"
"SRTQBUDNFLRBKO-UHFFFAOYSA-N","No result"
"XVULBTBTFGYVRC-GRLGQGAKSA-N","No result"
"BFCZPWYLRHFBNO-DTJAAUDXSA-N","No result"
"CELZEZYUAVUZRU-NXVVXOECSA-N","No result"
"CELZEZYUAVUZRU-NXVVXOECSA-N","No result"
"GKMFOEIZCLMZDE-UHFFFAOYSA-N","No result"
"AADNEQWIZKTMBL-UHFFFAOYSA-N","No result"
"JUSRSHKQWKDVMR-CMDGGOBGSA-N","No result"
"OCAPBUJLXMYKEJ-UHFFFAOYNA-N","No result"
"PROQIPRRNZUXQM-ZXXIGWHRSA-N","C05141"
"PROQIPRRNZUXQM-ZXXIGWHRSA-N","C05141"
"PROQIPRRNZUXQM-ZXXIGWHRSA-N","C05141"
"LUIGTZGBXWZJAX-UHFFFAOYSA-N","No result"
"LUIGTZGBXWZJAX-UHFFFAOYSA-N","No result"
"AXTZJFBZXCJFJP-UHFFFAOYSA-N","No result"
"FCHJZJFIDNMNBS-CLBXSRGTSA-N","No result"
"BOJKFRKNLSCGHY-HXGSDTCMSA-N","C20197"
